text,intent_manual,actor_entity_manual
Reminder: Please send me the updated budget for the road safety campaign by Friday.,Request,NONE
The pilot collaboration with Aarhus municipality has been approved and will start next month.,Information,Aarhus municipality
Several complaints have been received about delays in our shipment tracking updates.,Complaint,NONE
Can you review the draft communication for the new university course and send comments?,Request,NONE
Internal note: The audit team will visit the ministry on 12 June for preliminary meetings.,Information,the ministry
We need a decision on whether to extend the contract with the current IT vendor.,Decision needed,the current IT vendor
Just a quick reminder about tomorrow’s workshop with the private partners.,Reminder,the private partners
Parents have written about confusing bicycle lane signage near the school.,Complaint,Parents
Please compile a one-page summary of last year’s sports participation statistics.,Request,NONE
The new guidelines for documenting project risks are now available on the intranet.,Information,NONE
Stakeholders are worried about inconsistent data across different reports.,Complaint,Stakeholders
Could you propose three dates for a meeting with the municipality and send them out?,Request,the municipality
We must decide today whether to include the new indicators in the performance report.,Decision needed,NONE
Just letting you know that the shipment to Singapore cleared customs earlier than expected.,Information,NONE
Reminder: Final edits for the annual traffic safety report are due by end of day.,Reminder,NONE
Several emails from citizens highlight unclear rules on helmet use for children.,Complaint,citizens
Please draft a short brief for management on the main findings from the audit.,Request,management
The sports federation has confirmed their participation in next month’s event.,Information,the sports federation
We need your feedback on the proposed changes to the collaboration agreement.,Request,NONE
Note: The external evaluation report will be shared with all partners next week.,Information,all partners
